"Timestamp","Dans l’exemple qui suit, le participant a choisit d’aller à la plage 1 car la combinaison des caractéristiques est celle qu’il préfère.  Certaines personnes pour qui une qualité d’eau tolérable leur est suffisante et qui ne recherchent pas forcément une grande biodiversité sur la plage auraient surement choisi la plage 2 étant moins couteuse. ","Choix 1","Choix 2","Choix 3","Choix 4","Choix 5","Choix 6","Quel est votre genre ? ","Quel est votre âge ? ","Quel est votre niveau d'études ?","Avez vous des enfants de moins de 15 ans ? ","Votre principale source de revenus dépend-elle de la présence de touristes pendant l’été ?   ","Faites-vous partie d’un club ou association qui organisent des activités liées à la préservation de l’environnement ?   ","Avant cette étude, étiez vous conscient des dangers environnementaux auxquels font face les écosystèmes littoraux  ? ","Connaissez vous l'existence de sites naturels protégés sur le Cap d'Antibes et îles de Lérins ? ","Accepteriez-vous de voir votre accès aux plages limité pendant l’été pour limiter la pression sur l’environnement (l’accès pourrait par exemple prendre la forme d’un enregistrement à l’avance) ?  ","Pensez-vous que le développement d’un label vert pourrait mieux vous aider à faire un choix quant à quelle plage choisir ? "
"2021/12/19 2:24:30 pm GMT","","Plage 1","Plage 1","Plage 2","Plage 1","Plage 1","Plage 2","Femme","30 - 49 ans","License","Non","Non","Oui","Oui","Oui","Oui","Non"
"2021/12/19 2:28:35 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","","Plage 1","Plage 2","Homme","30 - 49 ans","Master ou plus","Non","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/19 2:36:02 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Plage 2","Homme","18 - 29 ans","Master ou plus","Non","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/19 2:42:52 pm GMT","Cliquez pour passer à la question suivante","Plage 2","Plage 1","Plage 2","Plage 2","Plage 2","Plage 2","Femme","18 - 29 ans","License","Non","Non","Non","Oui","Oui","Non","Oui"
"2021/12/19 2:59:53 pm GMT","","Plage 1","Plage 1","Plage 1","Plage 2","Plage 2","Plage 2","Homme","18 - 29 ans","License","Non","Oui","Non","Oui","Oui","Non","Oui"
"2021/12/20 1:08:08 pm GMT","","Plage 1","Plage 1","Plage 2","Plage 1","Plage 2","Plage 2","Homme","50 - 64 ans","Master ou plus","Oui","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/20 3:11:04 pm GMT","","Plage 2","Plage 1","Plage 2","Plage 2","Plage 2","Plage 2","Femme","30 - 49 ans","License","Non","Oui","Non","Oui","Oui","Oui","Oui"
"2021/12/21 3:32:59 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 2","Plage 1","Plage 2","Plage 2","Homme","30 - 49 ans","Apprentissage","Oui","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/21 3:41:30 pm GMT","","Plage 2","Plage 1","Plage 1","Plage 1","Plage 1","Plage 2","Femme","30 - 49 ans","Baccalauréat","Oui","Non","Non","Oui","Oui","Non","Non"
"2021/12/21 3:48:14 pm GMT","Cliquez pour passer à la question suivante","Plage 2","Plage 1","Plage 1","Plage 1","","Plage 2","Homme","18 - 29 ans","Master ou plus","Non","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/21 4:04:49 pm GMT","Cliquez pour passer à la question suivante","Plage 2","Plage 1","Plage 1","Plage 1","Plage 1","Plage 2","Homme","30 - 49 ans","Master ou plus","Oui","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/21 4:25:04 pm GMT","","Plage 2","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Femme","30 - 49 ans","License","Non","Non","Non","Oui","Non","Non","Oui"
"2021/12/22 10:37:24 am GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Femme","50 - 64 ans","Baccalauréat","Non","Oui","Oui","Oui","Oui","Oui","Oui"
"2021/12/22 10:55:56 am GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 2","Plage 2","Plage 2","Plage 2","Plage 2","Homme","30 - 49 ans","License","Non","Non","Oui","Oui","Oui","Non","Non"
"2021/12/22 11:00:51 am GMT","","Plage 1","Plage 1","Plage 1","Plage 2","Plage 1","Plage 1","Femme","50 - 64 ans","License","Non","Non","Non","Oui","Oui","Non","Oui"
"2021/12/22 11:24:43 am GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","Plage 1","Plage 2","Plage 1","Femme","18 - 29 ans","Master ou plus","Non","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/22 12:37:20 pm GMT","","Plage 1","Plage 1","Plage 1","Plage 2","Plage 1","Plage 2","Femme","30 - 49 ans","Baccalauréat","Non","Non","Non","Non","Non","Oui","Oui"
"2021/12/22 1:00:39 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 2","Plage 1","Plage 2","Plage 2","Homme","18 - 29 ans","License","Non","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/22 1:06:05 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","Plage 1","Plage 2","Plage 2","Femme","30 - 49 ans","License","Non","Non","Non","Oui","Oui","Non","Non"
"2021/12/22 6:45:56 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 2","Plage 2","Plage 1","Plage 2","Plage 2","Femme","30 - 49 ans","License","Oui","Non","Non","Non","Non","Non","Oui"
"2021/12/23 11:17:20 am GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","Plage 2","Plage 1","Plage 2","Homme","50 - 64 ans","Baccalauréat","Oui","Non","Non","Non","Non","Non","Non"
"2021/12/23 11:26:14 am GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Plage 2","Femme","50 - 64 ans","Master ou plus","Non","Non","Non","Oui","Non","Oui","Oui"
"2021/12/23 11:50:50 am GMT","","Plage 2","Plage 1","Plage 2","Plage 1","Plage 2","Plage 2","Homme","30 - 49 ans","Master ou plus","Non","Non","Non","Oui","Non","Oui","Oui"
"2021/12/23 12:11:05 pm GMT","","Plage 2","Plage 1","Plage 2","Plage 2","Plage 2","Plage 2","Femme","18 - 29 ans","Master ou plus","Non","Non","Non","Oui","Oui","Oui","Oui"
"2021/12/23 12:16:52 pm GMT","","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Plage 1","Homme","30 - 49 ans","Baccalauréat","Non","Oui","Non","Oui","Oui","Non","Oui"
"2021/12/23 1:30:03 pm GMT","","Plage 1","Plage 2","Plage 2","Plage 1","Plage 2","Plage 2","Homme","18 - 29 ans","Master ou plus","Non","Non","Non","Oui","Oui","Non","Oui"
"2021/12/23 2:22:12 pm GMT","Cliquez pour passer à la question suivante","Plage 2","Plage 1","Plage 2","Plage 1","Plage 2","Plage 1","Homme","18 - 29 ans","Master ou plus","Non","Non","Non","Oui","Oui","Oui","Non"
"2021/12/24 3:44:50 pm GMT","Cliquez pour passer à la question suivante","Plage 1","Plage 1","Plage 2","Plage 1","Plage 2","Plage 2","Femme","66 + ans","Apprentissage","Non","Non","Non","Oui","Non","Oui","Oui"
"2022/01/25 3:52:16 pm GMT","Cliquez pour passer à la question suivante","","","","","","Plage 2","Femme","50 - 64 ans","Master ou plus","Non","Non","Oui","Oui","Oui","Non","Oui"